연번,단속장소,위반내용,견인료,견인일자
81,서울특별시 양천구 목동 903-5,"횡단보도, 산책로 등","40,000",2021-11-09 16:36
82,서울특별시 양천구 목동 650-10,"버스정류장, 택시 승강장","40,000",2021-11-10 10:02
83,서울특별시 양천구 목동 650-10,"버스정류장, 택시 승강장","40,000",2021-11-10 10:03
84,서울특별시 양천구 목동 650-7,"버스정류장, 택시 승강장","40,000",2021-11-10 10:03
85,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-10 10:15
86,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-10 10:16
87,서울특별시 양천구 목동 405-270,"횡단보도, 산책로 등","40,000",2021-11-10 11:19
88,서울특별시 양천구 신월동 791,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-10 15:52
89,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-11 10:05
90,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-11 10:06
91,서울특별시 양천구 목동 514-3,지하철역 진출입로 및 주변,"40,000",2021-11-11 10:05
92,서울특별시 양천구 목동 406-207,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-11 10:48
93,서울특별시 양천구 목동 406-174,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-11 10:45
94,서울특별시 양천구 목동 915,"버스정류장, 택시 승강장","40,000",2021-11-11 11:14
95,서울특별시 양천구 목동 919-7,"버스정류장, 택시 승강장","40,000",2021-11-11 11:26
96,서울특별시 양천구 신월동 804,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-11 13:33
97,서울특별시 양천구 신정동 912-1,"횡단보도, 산책로 등","40,000",2021-11-11 13:49
98,서울특별시 양천구 신정동 1323-2,"점자블록, 엘리베이터 입구","40,000",2021-11-12 10:00
99,서울특별시 양천구 신정동 311-5,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-12 10:23
100,서울특별시 양천구 신정동 276,지하철역 진출입로 및 주변,"40,000",2021-11-12 10:41
101,서울특별시 양천구 신정동 276,지하철역 진출입로 및 주변,"40,000",2021-11-12 10:42
102,서울특별시 양천구 신정동 276-1,"점자블록, 엘리베이터 입구","40,000",2021-11-12 11:31
103,서울특별시 양천구 신정동 88-1,"점자블록, 엘리베이터 입구","40,000",2021-11-12 11:42
104,서울특별시 양천구 신정동 88-1,"횡단보도, 산책로 등","40,000",2021-11-12 11:48
105,서울특별시 양천구 신월동 492-16,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-12 13:26
106,서울특별시 양천구 신월동 808,"횡단보도, 산책로 등","40,000",2021-11-12 13:46
107,서울특별시 양천구 신월동 236-12,"횡단보도, 산책로 등","40,000",2021-11-12 14:43
108,서울특별시 양천구 목동 929,"점자블록, 엘리베이터 입구","40,000",2021-11-12 16:24
109,서울특별시 양천구 목동 514-3,지하철역 진출입로 및 주변,"40,000",2021-11-15 09:51
110,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-15 09:49
111,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-15 09:50
112,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-15 09:47
113,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-15 09:47
114,서울특별시 양천구 목동 915,"점자블록, 엘리베이터 입구","40,000",2021-11-15 10:27
115,서울특별시 양천구 목동 914-6,"버스정류장, 택시 승강장","40,000",2021-11-15 10:38
116,서울특별시 양천구 목동 913-3,"버스정류장, 택시 승강장","40,000",2021-11-15 10:46
117,서울특별시 양천구 목동 913,"점자블록, 엘리베이터 입구","40,000",2021-11-15 10:57
118,서울특별시 양천구 목동 925,"횡단보도, 산책로 등","40,000",2021-11-15 11:19
119,서울특별시 양천구 목동 408-40,"버스정류장, 택시 승강장","40,000",2021-11-15 11:25
120,서울특별시 양천구 신정동 276,지하철역 진출입로 및 주변,"40,000",2021-11-15 11:39
121,서울특별시 양천구 신정동 320-2,"버스정류장, 택시 승강장","40,000",2021-11-15 11:49
122,서울특별시 양천구 신월동 831,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-15 15:35
123,서울특별시 양천구 신월동 826,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-15 15:42
124,서울특별시 양천구 신정동 1093,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-15 16:05
125,서울특별시 양천구 신정동 1323-1,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-15 16:17
126,서울특별시 양천구 신정동 1142,"점자블록, 엘리베이터 입구","40,000",2021-11-15 16:25
127,서울특별시 양천구 목동 405-25,"횡단보도, 산책로 등","40,000",2021-11-15 16:52
128,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-16 10:14
129,서울특별시 양천구 목동 560,지하철역 진출입로 및 주변,"40,000",2021-11-16 10:14
130,서울특별시 양천구 목동 912-2,"횡단보도, 산책로 등","40,000",2021-11-16 10:35
131,서울특별시 양천구 목동 406-174,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-16 10:52
132,서울특별시 양천구 목동 406-43,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-16 11:10
133,서울특별시 양천구 신정동 328,"점자블록, 엘리베이터 입구","40,000",2021-11-16 11:31
134,서울특별시 양천구 신정동 1090,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-16 11:56
135,서울특별시 양천구 신정동 1090,"점자블록, 엘리베이터 입구","40,000",2021-11-16 11:59
136,서울특별시 양천구 신월동 166-7,"버스정류장, 택시 승강장","40,000",2021-11-16 16:16
137,서울특별시 양천구 신정동 1066,보도와 차도가 구분된 도로의 차도,"40,000",2021-11-16 16:42
138,서울특별시 양천구 신정동 890-16,"횡단보도, 산책로 등","40,000",2021-11-17 13:00
